"My Cart", "My Shopping Bag"
"My Cart (%s items)", "My Shopping Bag(%s)"
"My Cart (%s item)", "My Shopping Bag(%s)"
"Failed to add a product to cart by id ""%s"".","Failed to add a product to shopping bag by id ""%s""."
"Check items to add to the cart or","Check items to add to the shopping bag or"
"Option validation failed to add product to cart.","Option validation failed to add product to shopping bag."
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your shopping bag. You can always remove it later."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to shopping bag line items, not the whole shopping bag."
"%s was added to your shopping cart.","%s was added to your shopping bag."
"%s was updated in your shopping cart.","%s was updated in your shopping bag."
"Add coupon code for shopping cart","Add coupon code for shopping bag"
"Add gift messages to shopping cart","Add gift messages to shopping bag"
"Add product to shopping cart","Add product to shopping bag"
"Add product(s) to shopping cart","Add product(s) to shopping bag"
"Are you sure you would like to remove this item from the shopping bag?","Are you sure you would like to remove this item from the shopping bag?"
"Cannot add item to the shopping cart.","Cannot add item to the shopping bag."
"Cannot add the item to shopping cart","Cannot add the item to shopping bag"
"Cannot add the item to shopping cart.","Cannot add the item to shopping bag."
"Cannot update shopping cart.","Cannot update shopping bag."
"Create an order from shopping cart","Create an order from shopping bag"
"Create shopping cart","Create shopping bag"
"Display number of items in cart","Display number of items in shopping bag"
"Get list of products in shopping cart","Get list of products in shopping bag"
"Get total prices for shopping cart","Get total prices for shopping bag"
"Payment methods in shopping cart","Payment methods in shopping bag"
"Remove coupon code from shopping cart","Remove coupon code from shopping bag"
"Remove product from shopping cart","Remove product from shopping bag"
"Remove product(s) from shopping cart","Remove product(s) from shopping bag"
"Retrieve information about shopping cart","Retrieve information about shopping bag"
"Set customer for shopping cart","Set customer for shopping bag"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping bag"
"Shipping methods in shopping cart","Shipping methods in shopping bag"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"There are <a href=""%s"">%s items</a> in your cart.","There are <a href=""%s"">%s items</a> in your shopping bag."
"There is <a href=""%s"">1 item</a> in your cart.","There is <a href=""%s"">1 item</a> in your shopping bag."
"Update product quantities in shopping cart","Update product quantities in shopping bag"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping bag"
"You have no items in your shopping cart.","You have no items in your shopping bag."
"There are no items in customer\'s shopping cart at the moment","There are no items in customer\'s shopping bag at the moment"
"Add gift message for shopping cart","Add gift message for shopping bag"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping bag"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping bag"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping bag, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Shopping cart contents and/or address has been changed.","Shopping bag contents and/or address has been changed."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping bag and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent shopping bag contents."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Accept payments in your shopping bag. PayPal will process your card payments through the Payflow Gateway."
"Also affects mini-shopping cart.","Also affects mini-shopping bag."
"Shopping cart has been updated with appropriate prices","Shopping bag has been updated with appropriate prices"
"Abandoned carts","Abandoned Shopping bags"
"Products in carts","Products in Shopping bags"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping bag?"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","This message will be shown in shopping bag when subtotal after discount less than minimum amount."
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to shopping bag items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to shopping bag items matching the following conditions"
"Fixed amount discount for whole cart","Fixed amount discount for whole shopping bag"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in shopping bag matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the shopping bag with %s of these conditions true:"
"Price in cart","Price in shopping bag"
"Quantity in cart","Quantity in shopping bag"
"Row total in cart","Row total in shopping bag"
"%d product(s) have been added to shopping cart: %s.","%d product(s) have been added to shopping bag: %s."
"Cannot add item to shopping cart","Cannot add item to shopping bag"
"Cannot add the item to shopping cart.","Cannot add the item to shopping bag."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to shopping bag separately only."
"Requested cart item doesn't exist","Requested shopping bag item doesn't exist"
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping shopping bag: %s."
" But cart has some errors."," But shopping bag has some errors."
"%s has been added to your cart.","%s has been added to your shopping bag."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","A Catalog Only App will not support functions such as add to shopping bag, add to wishlist, or login."
"Can\'t add item to shopping cart.","Can\'t add item to shopping bag."
"Can\'t load cart info.","Can\'t load shopping bag info."
"Can\'t load cart.","Can\'t load shopping bag."
"Can\'t update cart.","Can\'t update shopping bag."
"Item has been added to cart.","Item has been added to shopping bag."
"Item has been deleted from cart.","Item has been deleted from shopping bag."
"Shopping cart is empty.","Shopping bag is empty."
"Store Credit payment is not being used in your shopping cart.","Store Credit payment is not being used in your shopping bag."
"The store credit payment has been removed from shopping cart.","The store credit payment has been removed from shopping bag."
"Unable to collect cart totals.","Unable to collect shopping bag totals."
"Billing Information","Billing Address"
"Shipping Information","Shipping Address"
"Discount Codes","Promo Codes"
"Discounts","Promo"
"Invalid discount amount.","Invalid promo amount."
"Discount","Promo"
"Discount ","Promo "
"Discount (%s)","Promo (%s)"
"Discount :","Promo :"
"Discount Amount","Promo Amount"
"Discount%s","Promo%s"
"Subtotal after discount","Subtotal after promo"
"Subtotal With Discount","Subtotal With Promo"
"Join","Create an Account"
"Shopping Bag (%s item)","Shopping Bag (%s)"
"Shopping Bag (%s items)","Shopping Bag (%s)"
"Close X","Close"
